﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:79aotvPXTlHbZ8MvoxhqAE","Light of Nibel (feat. Aeralie Brighton)","Gareth Coker, Aeralie Brighton","Ori and the Blind Forest (Original Soundtrack)","1","32","259081","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:6HeUUcKdDELB4REHiHufBC","Eye In the Sky","The Alan Parsons Project","80s 100 Hits","1","79","265866","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:7o2CTH4ctstm8TNelqjb51","Sweet Child O' Mine","Guns N' Roses","Appetite For Destruction","1","9","354520","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:6s0NHplywwr1IjnQpUpWJk","Bad To The Bone","George Thorogood & The Destroyers","BAD TO THE BONE","1","6","292173","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:11P8PMjut7t75FPzHTgd0L","Give It All","Rise Against","Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness","3","9","170893","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:5xK7K6C2Gpme46F9paZH1t","Crawling - Live from Europe, 2017","Linkin Park","Crawling (One More Light Live)","1","1","209493","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","In the End","Linkin Park","Hybrid Theory (Bonus Edition)","1","8","216933","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:1tNxprI7wf87blRuXUyEvC","Grey","Kölsch","Speicher 93","1","1","293578","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:7HaNlbEP3u3WAxNxVC6M5m","Moon And Moon","Bat For Lashes","Two Suns","1","3","188907","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:1EAxhvXxmpC9Tz1alalkQr","ESCAPE FROM THE CITY - Cash Cash RMX / CITY ESCAPE : ACT1","SEGA SOUND TEAM, Cash Cash","SONIC GENERATIONS OFFICIAL SOUNDTRACK (Vol.1)","1","14","155813","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:5niJaBcWtydYNTqIQofOeJ","Stand and Deliver","Adam & The Ants","80s 100 Hits","1","41","176066","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:6eQQLxpKeoNqwT90zSD4Em","Summer Jam 2003 - Remix","The Underdog Project","Remix Hits, Vol.1","1","14","229880","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
