﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:20BJLckTGhiPYaLQox2D2e","Everything Stays (From "Adventure Time")","The Marcus Hedges Trend Orchestra","Adventure Time: Themes from Marceline","1","1","111942","spotify:user:seyahdoo","2017-11-24T07:22:13Z"
"spotify:track:6zlYQdewbW21DOdQbd07n3","Last Battle (Cave Story) [Piano Version]","Game Soundtrack Cat","Cave Story (Piano Selections)","1","31","115263","spotify:user:seyahdoo","2017-11-24T07:22:18Z"
"spotify:track:5iaay02hwJLw9D6QksFt3S","Queen of the Masquerade","Crimson Glory","Crimson Glory","1","2","332053","spotify:user:seyahdoo","2017-11-24T11:22:48Z"
"spotify:track:4xBx2GkcjASQl3DNNVdeuC","We Could Be the Same","maNga","e-akustik","1","7","228310","spotify:user:seyahdoo","2017-11-24T14:53:23Z"
"spotify:track:41KPpw0EZCytxNkmEMJVgr","One - Radio Edit","Swedish House Mafia","One (Your Name)","1","2","169920","spotify:user:seyahdoo","2017-11-26T12:28:04Z"
"spotify:track:5EJcVJZBl6HTfSf6z4dC78","One (Your Name)","Swedish House Mafia, Pharrell Williams","Until Now","1","9","351440","spotify:user:seyahdoo","2017-11-26T14:44:09Z"
"spotify:track:77RFXda1NeUkBIor8iZYJG","Peeping Tom - Original Mix","Jamie Berry, Rosie Harte","Peeping Tom","1","1","210000","spotify:user:seyahdoo","2017-11-30T07:06:17Z"
"spotify:track:5HIDIRwU38XVBozdoQwCml","Can You Feel It","The Jacksons","80s 100 Hits","1","25","227946","spotify:user:seyahdoo","2017-12-01T06:35:14Z"
"spotify:track:4EZz8Byhbjk0tOKFJlCgPB","Never Gonna Give You Up - 7" Mix","Rick Astley","80s 100 Hits","1","3","209893","spotify:user:seyahdoo","2017-12-06T06:00:40Z"
"spotify:track:7D2XaoBcDBkLQM0ukyaJ63","İtirazım Var","Müslüm Gürses","Sandık","1","2","313840","spotify:user:seyahdoo","2017-12-06T09:39:12Z"
"spotify:track:4WnYuVFXe6Si4fZqkxbnvS","Hold My Hand","Hootie & The Blowfish","Cracked Rear View","1","2","258333","spotify:user:seyahdoo","2017-12-16T07:27:04Z"
"spotify:track:7ewraUQ1M5KwLZoFnPyXZG","Gas Gas Gas (Initial D)","Tsuko G.","Gas Gas Gas (Initial D)","1","1","272404","spotify:user:seyahdoo","2018-03-22T05:28:53Z"
"spotify:track:3JGQ8LZqQusCMpDluqqKhc","Life Will Change (Persona 5)","AmaLee","Life Will Change (Persona 5)","1","1","235000","spotify:user:seyahdoo","2018-03-22T05:28:58Z"
