﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5XNxMOA0ulXcavLzOQM2br","Strong in the Real Way","Steven Universe, Zach Callison, Deedee Magno Hall","Steven Universe, Vol. 1 (Original Soundtrack)","1","5","101500","spotify:user:seyahdoo","2017-12-19T13:30:47Z"
"spotify:track:20BJLckTGhiPYaLQox2D2e","Everything Stays (From "Adventure Time")","The Marcus Hedges Trend Orchestra","Adventure Time: Themes from Marceline","1","1","111942","spotify:user:seyahdoo","2017-12-19T13:34:56Z"
"spotify:track:1XJ4Tlgl5Q0DvVp8s6dq7p","Destiny","Steven Universe, Tom Scharpling","Steven Universe, Vol. 1 (Original Soundtrack)","1","13","39729","spotify:user:seyahdoo","2017-12-20T08:53:57Z"
"spotify:track:5FmHnQvnU5SeTo9AVeXJFV","Let Me Drive My Van into Your Heart","Steven Universe, Tom Scharpling","Steven Universe, Vol. 1 (Original Soundtrack)","1","2","66090","spotify:user:seyahdoo","2017-12-20T08:54:03Z"
"spotify:track:6Y2VzNDBghZuYv18sr0AYO","Peace and Love on the Planet Earth","Steven Universe, Zach Callison, Estelle, Deedee Magno Hall, Michaela Dietz, Shelby Rabara","Steven Universe, Vol. 1 (Original Soundtrack)","1","25","112198","spotify:user:seyahdoo","2017-12-23T16:45:25Z"
"spotify:track:2HD2g1syRNaqanstTj8zfJ","Love Like You (End Credits)","Steven Universe, Rebecca Sugar","Steven Universe, Vol. 1 (Original Soundtrack)","1","37","143629","spotify:user:seyahdoo","2018-01-27T09:31:39Z"
"spotify:track:6bX8I0kg3J6IXWVlyVknh1","Here Comes a Thought","Steven Universe, Estelle, AJ Michalka","Steven Universe, Vol. 1 (Original Soundtrack)","1","33","202340","spotify:user:seyahdoo","2018-01-27T09:31:51Z"
