﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6S3JlDAGk3uu3NtZbPnuhS","Baby Blue - Remastered 2010","Badfinger","Straight Up (Remastered 2010 / Deluxe Edition)","1","2","217346","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:15tHagkk8z306XkyOHqiip","I'll Be There for You","The Rembrandts","L.P.","1","15","188359","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:1PwB9EADXS90I8LoewLXfl","Sex & Drugs & Rock & Roll","Ian Dury","New Boots And Panties (Deluxe Edition)","1","11","187573","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:2EC9IJj7g0mN1Q5VrZkiYY","Rebel Rebel - 2016 Remastered Version","David Bowie","Diamond Dogs (2016 Remastered Version)","1","6","274746","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:31AOj9sFz2gM0O3hMARRBx","Losing My Religion","R.E.M.","Out Of Time (25th Anniversary Edition)","1","2","268426","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:1yjr0GeoqGPejLg5P9g8Qe","Fell In Love With a Girl","The White Stripes","White Blood Cells","1","4","110093","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:4vnLdmUdkOworoveEzpEST","She Sells Sanctuary","The Cult","Pure Cult","1","1","252533","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:5gmMa8nwzrkcPbHzSW3azN","All Day and All of the Night","The Kinks","Kinks (Deluxe Edition)","1","23","142226","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:2hmibAtdObO8F4tnhLENuQ","Reptilia","The Strokes","Room On Fire","1","2","219826","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:0fiB5cRA2lngpF06X1Ou4u","Bang Bang You're Dead","Dirty Pretty Things","Waterloo To Anywhere","1","3","212200","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:7KEajVD9AUG68onXRSFZTv","Human","The Killers","Day & Age","1","2","245360","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:0bHm2wFL0m7qZIlhO7PQu5","Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version","Buzzcocks","Love Bites (Special Edition)","1","2","163693","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:7w87IxuO7BDcJ3YUqCyMTT","Pumped Up Kicks","Foster The People","Torches","1","2","239600","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:5LbRsTHDPRx17YGyqNZTYn","Feel Good Hit Of The Summer","Queens of the Stone Age","Rated R - Deluxe Edition","1","1","163266","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:56KqaFSGTb7ifpt16t5Y1N","Rock the Casbah - Remastered","The Clash","Combat Rock","1","4","222426","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1","Where Is My Mind?","Pixies","Surfer Rosa (Remastered)","1","7","236973","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:4spfRBAAdrMKR35lZWrgYF","Goodbye Mr A","The Hoosiers","The Trick To Life","1","4","266813","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:19503qDaxgCdPL2BhJngij","Apply Some Pressure","Maximo Park","A Certain Trigger","1","2","200346","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:6b2oQwSGFkzsMtQruIWm2p","Creep","Radiohead","Pablo Honey","1","2","238640","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:2AX5E86cn9n2dgioZEjirI","Golden Brown","The Stranglers","La Folie","1","9","206760","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","Of Monsters and Men","My Head Is An Animal","1","6","266600","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:0ntQJM78wzOLVeCUAW7Y45","Sex on Fire","Kings of Leon","Only By The Night","1","3","203346","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:6TfpbHnkrZ2exioS1kJLZ8","Burn Baby Burn","Ash","Intergalactic Sonic Sevens","1","1","208375","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:0NdTUS4UiNYCNn5FgVqKQY","Snap Out Of It","Arctic Monkeys","AM","1","10","193030","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:1yG1OpMiV8WtDeOYEBvNW8","Our Velocity","Maximo Park","Our Earthly Pleasures","1","2","200386","spotify:user:","2019-04-17T11:32:21Z"
